fish_id,group,clutch,tau_-1,tau_0.5,tau_24,loco_-1,loco_0.5,loco_24,pre_tau,baseline_locomotion_pre,dtau_0.5,dtau_24,converted,burst_events_per_hour,ptz_challenged,dose
zf_075,low_impact,clutch_B,4.05844401719528,6.480521241890615,3.2282193782278155,107.81,95.14,109.94,4.05844401719528,107.81,2.422077224695335,-0.8302246389674641,0,0.09,0,0
zf_076,high_impact,clutch_B,6.904289176146537,7.560669855590502,,103.28,72.02,,6.904289176146537,103.28,0.6563806794439655,,1,9.95,1,1
zf_077,high_impact,clutch_B,7.009668565271738,1.174460703063186,3.839714406107148,104.63,64.92,89.17,7.009668565271738,104.63,-5.835207862208552,-3.16995415916459,1,4.16,0,1
zf_078,high_impact,clutch_B,5.76376328755633,2.464421451126824,5.129882383374259,105.56,72.31,91.99,5.76376328755633,105.56,-3.2993418364295057,-0.633880904182071,0,0.71,1,1
zf_079,high_impact,clutch_B,7.594433332435248,7.693733921917315,4.763076003510353,100.93,74.39,91.59,7.594433332435248,100.93,0.0993005894820671,-2.831357328924895,0,0.07,0,1
zf_080,high_impact,clutch_B,4.412645879804219,4.04678102775548,5.195288662916179,101.47,73.12,86.75,4.412645879804219,101.47,-0.3658648520487393,0.7826427831119602,0,0.56,1,1
zf_081,high_impact,clutch_B,5.313915663444693,10.29901714593419,6.3580623293963265,113.78,64.53,89.44,5.313915663444693,113.78,4.9851014824894975,1.0441466659516339,1,3.67,0,1
zf_082,high_impact,clutch_B,7.90733956004467,2.156955285459905,4.734098426276988,105.98,70.47,89.62,7.90733956004467,105.98,-5.750384274584764,-3.1732411337676814,1,8.67,0,1
zf_083,high_impact,clutch_B,,4.784633897910633,6.638771929683164,,74.02,83.04,,,,,1,8.92,1,1
zf_084,high_impact,clutch_B,4.546362593179918,2.026342127717058,8.968044849705525,107.22,68.85,87.32,4.546362593179918,107.22,-2.52002046546286,4.421682256525607,0,0.67,1,1
zf_085,high_impact,clutch_B,6.574270663272465,2.7568865325351264,9.408196770119313,115.77,70.16,91.65,6.574270663272465,115.77,-3.8173841307373384,2.8339261068468478,1,13.08,0,1
